,Count,Dist1,Dist2,Dist3,Dist4,Dist5,Sim1,Sim2,Sim3,Sim4,Sim5,Word
201,1,0.856646537781,0.848955869675,0.848776102066,0.845163464546,0.843263924122,aiplane,reverses,traversable,peeks,emulating,boarder
202,1,0.917743384838,0.917664945126,0.913954257965,0.913431107998,0.912986814976,teaching,market,recreation,conquest,twain,pretzel
203,12,0.951968610287,0.950506269932,0.950455725193,0.950014829636,0.946602523327,silhouette,vessel,panel,origin,sm,patch
204,1,0.949693858624,0.949482262135,0.947263896465,0.944127380848,0.943732619286,estrella,gate,adams,boulevard,fron,rowhouse
205,199,0.908644258976,0.889213442802,0.888121724129,0.887341141701,0.885345816612,darting,circled,joining,strobing,rotating,circling
206,1,0.859717786312,0.859591603279,0.854526221752,0.854353368282,0.848397135735,violet,winesssed,basket,crimson,disco,voilet
207,2,0.94171744585,0.940646350384,0.939070284367,0.938812077045,0.938028752804,forma,via,cades,distancia,technical,pinos
208,1,0.805427372456,0.781862437725,0.78093791008,0.766400098801,0.755359113216,permisstion,venetian,middle,confiscated,ballinger,brightist
209,2,0.972646653652,0.961274266243,0.960698068142,0.959685027599,0.958772361279,punta,fork,conte,phenomena,mystery,tyndall
210,52,0.91870111227,0.918174088001,0.912780880928,0.9105245471,0.90729290247,eos,verification,bunch,interaction,carbon,lots
211,1,0.883809447289,0.879401445389,0.879108190536,0.87720656395,0.874734282494,riding,visting,driver,girlfrienend,barra,irt
212,1,0.782030642033,0.76503944397,0.752055168152,0.751817464828,0.750357806683,group,bust,gazing,arranging,quck,lota
213,3,0.85970389843,0.840488612652,0.829677641392,0.829494297504,0.825424134731,candy,ah,sparatically,tilted,thanis,extend
214,21,0.967494487762,0.963750064373,0.962565541267,0.96229326725,0.961742281914,result,pense,avais,momento,dessus,nature
215,1,0.956354320049,0.955120503902,0.954883158207,0.954267323017,0.953468799591,arena,heflin,learning,hypnotic,weapons,basswood
216,1,0.850693762302,0.846872210503,0.840189218521,0.832622587681,0.829776704311,defracting,navagation,wing,tappered,ultralight,stroblights
217,1,0.92924207449,0.922354280949,0.910591363907,0.907861828804,0.906755983829,armageddon,whaleys,knobs,urgent,baxster,allegash
218,2,0.89118719101,0.868348121643,0.863260388374,0.849773287773,0.847318887711,cambria,hills,bowman,champlain,belden,flathead
219,4,0.946383178234,0.945857584476,0.945606410503,0.943362653255,0.943019390106,tijuana,burnsville,maryland,alabama,wv,boardman
